Altium Designer Pick and Place Locations
C:\Users\8jcm0\Documents\Senior\PCB Rev2\Digital Power Board Rev2\Project Outputs for Digital Power Board Rev2\Pick Place for PB-SG-Digital1-rev2.txt

========================================================================================================================
File Design Information:

Date:       15/05/23
Time:       22:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                     Layer    Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                            
C12        22uF                        TopLayer CAPC3225X270N           4280.000      380.000       270      C65428                                                                 
C10        22uF                        TopLayer CAPC3225X270N           4280.000      860.000       270      C65428                                                                 
""         61300211121                 TopLayer 61300211121             1860.000      80.000        360      "THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 2 pins"    
R34        120                         TopLayer RESC3116X65N            540.000       420.000       270      "C17957  Resistor"                                                     
R33        500                         TopLayer RESC2012X60N            3460.630      820.000       0        "C2828857  0805W8J0102T5E"                                             
5V_ON      "Green LED - 5V"            TopLayer SMLMN2ECTT86C           3240.630      820.000       90       "C2297   LED"                                                          
R1         100k                        TopLayer RESC3116X65N            3500.000      2400.000      270      "C406727   Resistor"                                                   
H4         "Hole 3mm"                  TopLayer Hole_3mm                4320.000      120.000       0        ""                                                                     
H3         "Hole 3mm"                  TopLayer Hole_3mm                120.000       120.000       0        ""                                                                     
H2         "Hole 3mm"                  TopLayer Hole_3mm                4320.000      4520.000      0        ""                                                                     
H1         "Hole 3mm"                  TopLayer Hole_3mm                120.000       4520.000      0        ""                                                                     
Vm         "Green LED - Vm"            TopLayer SMLMN2ECTT86C           966.260       700.000       270      "C2297   LED"                                                          
Vs         "Green LED - Vs"            TopLayer SMLMN2ECTT86C           966.260       560.000       270      "C2297   LED"                                                          
STM_OK     "Green LED - STM OK"        TopLayer SMLMN2ECTT86C           966.260       420.000       270      "C2297   LED"                                                          
3.3V_ON    "Green LED - 3.3V"          TopLayer SMLMN2ECTT86C           3240.630      980.000       90       "C2297   LED"                                                          
CAN_FLT    "Red LED - CAN FAULT"       TopLayer CSL1901UW1              912.480       960.000       0        "LED  C2286"                                                           
ERROR      "Red LED - ERROR"           TopLayer CSL1901UW1              912.480       840.000       0        "LED  C2286"                                                           
S1         1825232-1                   TopLayer 18252321                1400.000      140.000       360      Switch                                                                 
R32        0.01                        TopLayer RESC6432X145N           3980.000      2500.000      180      Resistor                                                               
R31        0.01                        TopLayer RESC6432X145N           3385.000      4266.772      180      Resistor                                                               
R30        100k                        TopLayer RESC2012X60N            2480.000      320.000       360      "C96346   
RC0805FR-07100KL"                                          
R29        352k                        TopLayer RESC2012X60N            2300.000      320.000       360      "C422745   0805W8F3523T5E"                                             
R28        200                         TopLayer RESC2012X60N            742.598       980.000       180      "C17540  RTT05101JTP"                                                  
R27        200                         TopLayer RESC2012X60N            742.598       840.000       180      "C17540  RTT05101JTP"                                                  
R26        200                         TopLayer RESC2012X60N            740.000       700.000       180      "C17540  RTT05101JTP"                                                  
R25        200                         TopLayer RESC2012X60N            737.402       560.000       180      "C17540  RTT05101JTP"                                                  
R24        200                         TopLayer RESC2012X60N            740.000       460.000       180      "C17540  RTT05101JTP"                                                  
R23        200                         TopLayer RESC2012X60N            3460.630      980.000       0        "C17540  RTT05101JTP"                                                  
R15        180k                        TopLayer RESC2012X60N            3200.000      577.402       270      C17501                                                                 
R14        249k                        TopLayer RESC1005X40N            3918.347      560.000       360      C163476                                                                
R13        34k                         TopLayer ERJS02_U02_(0402)       4120.177      580.000       0        C412507                                                                
R11        9.31k                       TopLayer RESC1005X40N            4278.346      500.000       360      C881302                                                                
R10        154k                        TopLayer RESC1005X40N            3960.000      1060.000      360      C226791                                                                
R9         34k                         TopLayer ERJS02_U02_(0402)       4120.000      1060.000      360      C412507                                                                
R7         9.31k                       TopLayer RESC1005X40N            4280.000      980.000       0        C881302                                                                
Q7         AO4407A                     TopLayer SOIC127P600X175-8N      3400.000      3680.000      90       C16072                                                                 
Q4         AO4407A                     TopLayer SOIC127P600X175-8N      3000.000      500.000       90       C16072                                                                 
